"site_id","name","lat","lon","acres","state","notes"
"MI-DC-0001","123NET DC1 Southfield","42.47337","-83.22187","","MI","Status: operational; City: Southfield"
"MI-DC-0002","123NET DC2 Southfield NW","42.47337","-83.22187","","MI","Status: operational; City: Southfield"
"MI-DC-0003","123NET DC3 Southfield W","42.47337","-83.22187","","MI","Status: operational; City: Southfield"
"MI-DC-0004","123NET DC4 Grand Rapids","42.81225","-85.72281","","MI","Status: operational; City: Byron Center"
"HI-DC-0001","1547 Harrison Street","21.30694","-157.85833","","HI","Status: operational; City: Honolulu"
"HI-DC-0002","1547 Harrison Street DRFortress","21.30694","-157.85833","","HI","Status: operational; City: Honolulu"
"IN-DC-0001","1547 Harrison Street South Bend","41.68338","-86.25001","","IN","Status: operational; City: South Bend"
"TN-DC-0001","5C Data Center Memphis","35.14953","-90.04898","","TN","Status: announced; City: Memphis"
"AZ-DC-0001","5C Data Center Phoenix","33.44838","-112.07404","","AZ","Status: operational; City: Phoenix"
"PA-DC-0001","900 Conshohocken Road Data Center","40.07928","-75.30157","","PA","Status: permitting; City: Conshohocken"
"KS-DC-0001","Alcove Development - Osawatomie Data Center","38.49724","-94.95052","","KS","Status: announced; City: Osawatomie"
"GA-DC-0001","Aligned Data Centers ATL-01","33.794","-84.66049","","GA","Status: operational; City: Lithia Springs"
"OH-DC-0001","Aligned Data Centers CMH-02","40.18396","-81.89097","","OH","Status: under_construction; City: Conesville"
"TX-DC-0001","Aligned Data Centers DFW-01","33.01984","-96.69889","","TX","Status: operational; City: Plano"
"TX-DC-0002","Aligned Data Centers DFW-02","33.01984","-96.69889","","TX","Status: operational; City: Plano"
"TX-DC-0003","Aligned Data Centers DFW-03","32.56319","-97.14168","","TX","Status: operational; City: Mansfield"
"TX-DC-0004","Aligned Data Centers DFW-04","33.01984","-96.69889","","TX","Status: announced; City: Plano"
"VA-DC-0001","Aligned Data Centers IAD-01","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0002","Aligned Data Centers IAD-02","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0003","Aligned Data Centers IAD-03","39.00622","-77.4286","","VA","Status: under_construction; City: Sterling"
"MD-DC-0001","Aligned Data Centers IAD-04","39.36622","-75.88383","","MD","Status: under_construction; City: Frederick"
"OH-DC-0002","Aligned Data Centers NEO-01","41.35742","-83.14391","","OH","Status: announced; City: Sandusky"
"IL-DC-0001","Aligned Data Centers ORD-01","41.91725","-87.89562","","IL","Status: operational; City: Northlake"
"IL-DC-0002","Aligned Data Centers ORD-02","41.91725","-87.89562","","IL","Status: operational; City: Northlake"
"IL-DC-0003","Aligned Data Centers ORD-03","42.00392","-87.97035","","IL","Status: operational; City: Elk Grove Village"
"OR-DC-0001","Aligned Data Centers PDX-01","45.52289","-122.98983","","OR","Status: announced; City: Hillsboro"
"AZ-DC-0002","Aligned Data Centers PHX-01","33.44838","-112.07404","","AZ","Status: operational; City: Phoenix"
"AZ-DC-0003","Aligned Data Centers PHX-02","33.44838","-112.07404","","AZ","Status: operational; City: Phoenix"
"AZ-DC-0004","Aligned Data Centers PHX-03","33.44838","-112.07404","","AZ","Status: operational; City: Phoenix"
"AZ-DC-0005","Aligned Data Centers PHX-04","33.44838","-112.07404","","AZ","Status: operational; City: Phoenix"
"AZ-DC-0006","Aligned Data Centers PHX-05","33.44838","-112.07404","","AZ","Status: operational; City: Phoenix"
"AZ-DC-0007","Aligned Data Centers PHX-06","33.30616","-111.84125","","AZ","Status: under_construction; City: Chandler"
"AZ-DC-0008","Aligned Data Centers PHX-07","33.61143","-112.42711","","AZ","Status: announced; City: Waddell"
"TX-DC-0005","Aligned Data Centers Project Caprock","34.07051","-101.82688","","TX","Status: under_construction; City: Hale County"
"UT-DC-0001","Aligned Data Centers SLC-01","40.60967","-111.9391","","UT","Status: operational; City: West Jordan"
"UT-DC-0002","Aligned Data Centers SLC-02","40.60967","-111.9391","","UT","Status: operational; City: West Jordan"
"UT-DC-0003","Aligned Data Centers SLC-03","40.60967","-111.9391","","UT","Status: operational; City: West Jordan"
"UT-DC-0004","Aligned Data Centers SLC-04","40.69161","-112.00105","","UT","Status: operational; City: West Valley City"
"PA-DC-0002","Allegheny DC Springdale","40.5409","-79.78394","","PA","Status: approved; City: Springdale"
"GA-DC-0002","Amazon Web Services — Atlanta","33.59678","-83.86018","","GA","Status: under_construction; City: Covington"
"TX-DC-0006","Amazon Web Services — Austin","29.88702","-96.27791","","TX","Status: operational; City: Austin"
"MN-DC-0001","Amazon Web Services — Becker","46.93465","-95.67392","","MN","Status: paused; City: Becker"
"OR-DC-0002","Amazon Web Services — Boardman","45.83986","-119.70058","","OR","Status: operational; City: Boardman"
"VA-DC-0004","Amazon Web Services — Chantilly","38.89428","-77.4311","","VA","Status: operational; City: Chantilly"
"OH-DC-0003","Amazon Web Services — Columbus","39.96118","-82.99879","","OH","Status: operational; City: Columbus"
"TX-DC-0007","Amazon Web Services — Dallas","32.76663","-96.77787","","TX","Status: operational; City: Dallas"
"AZ-DC-0009","Amazon Web Services — Dobbins Campus","33.49337","-112.35794","","AZ","Status: operational; City: Litchfield Park"
"OH-DC-0004","Amazon Web Services — Dublin","40.09923","-83.11408","","OH","Status: operational; City: Dublin"
"VA-DC-0005","Amazon Web Services — Dulles","39.03761","-77.41582","","VA","Status: operational; City: Dulles"
"CA-DC-0001","Amazon Web Services — East Palo Alto","37.46883","-122.14108","","CA","Status: operational; City: East Palo Alto"
"WI-DC-0001","Amazon Web Services — Eau Claire","44.72677","-91.286","","WI","Status: operational; City: Eau Claire"
"NE-DC-0001","Amazon Web Services — Elkhorn","41.345","-96.256","","NE","Status: operational; City: Elkhorn"
"CA-DC-0002","Amazon Web Services — Gilroy","37.00578","-121.56828","","CA","Status: approved; City: Gilroy"
"VA-DC-0006","Amazon Web Services — Haymarket","38.81206","-77.63638","","VA","Status: operational; City: Haymarket"
"OR-DC-0003","Amazon Web Services — Hermiston","45.84041","-119.28946","","OR","Status: operational; City: Hermiston"
"VA-DC-0007","Amazon Web Services — Herndon","38.96955","-77.3861","","VA","Status: operational; City: Herndon"
"OH-DC-0005","Amazon Web Services — Hilliard","40.0334","-83.15825","","OH","Status: operational; City: Hilliard"
"TX-DC-0008","Amazon Web Services — Houston","31.31773","-95.42268","","TX","Status: operational; City: Houston"
"TX-DC-0009","Amazon Web Services — Katy","29.78579","-95.8244","","TX","Status: operational; City: Katy"
"KS-DC-0002","Amazon Web Services — Lenexa","38.95362","-94.73357","","KS","Status: operational; City: Lenexa"
"LA-DC-0001","Amazon Web Services — Louisiana","32.52515","-93.75018","","LA","Status: announced; City: Shreveport"
"MS-DC-0001","Amazon Web Services — Madison County (Canton)","32.61264","-90.03675","","MS","Status: under_construction; City: Canton"
"MS-DC-0002","Amazon Web Services — Madison County (Ridgeland)","32.42848","-90.13231","","MS","Status: under_construction; City: Ridgeland"
"VA-DC-0008","Amazon Web Services — Manassas","38.75095","-77.47527","","VA","Status: operational; City: Manassas"
"VA-DC-0009","Amazon Web Services — Manassas (Innovation Campus)","38.75095","-77.47527","","VA","Status: operational; City: Manassas"
"TN-DC-0002","Amazon Web Services — Memphis","35.14953","-90.04898","","TN","Status: operational; City: Memphis"
"CA-DC-0003","Amazon Web Services — Milpitas","37.42827","-121.90662","","CA","Status: operational; City: Milpitas"
"MN-DC-0002","Amazon Web Services — Minneapolis","44.97997","-93.26384","","MN","Status: operational; City: Minneapolis"
"WA-DC-0001","Amazon Web Services — Moses Lake","47.13014","-119.27808","","WA","Status: announced; City: Moses Lake"
"TN-DC-0003","Amazon Web Services — Nashville","36.16589","-86.78444","","TN","Status: operational; City: Nashville"
"OH-DC-0006","Amazon Web Services — New Albany","40.08117","-82.80879","","OH","Status: operational; City: New Albany"
"IN-DC-0002","Amazon Web Services — New Carlisle","41.70032","-86.50946","","IN","Status: under_construction; City: New Carlisle"
"VA-DC-0010","Amazon Web Services — Northern Virginia (Fadeley Lane)","39.00622","-77.4286","","VA","Status: operational; City: Sterling"
"VA-DC-0011","Amazon Web Services — Northern Virginia (Import Plaza)","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0012","Amazon Web Services — Northern Virginia (Interconnection Campus)","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0013","Amazon Web Services — Northern Virginia (Leesburg)","39.11566","-77.5636","","VA","Status: operational; City: Leesburg"
"VA-DC-0014","Amazon Web Services — Northern Virginia (Loudoun County Pkwy)","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0015","Amazon Web Services — Northern Virginia (Reeds Farm Lane)","38.97567","-77.64138","","VA","Status: under_construction; City: Aldie"
"VA-DC-0016","Amazon Web Services — Northern Virginia (Smith Campus)","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0017","Amazon Web Services — Northern Virginia (Sterling — Dulles Summit)","39.00622","-77.4286","","VA","Status: operational; City: Sterling"
"VA-DC-0018","Amazon Web Services — Northern Virginia (Wellington Road)","38.75095","-77.47527","","VA","Status: operational; City: Manassas"
"VA-DC-0019","Amazon Web Services — Northern Virginia Hyperscale Campus","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"OH-DC-0007","Amazon Web Services — Ohio (Beach Road)","40.7695","-83.82271","","OH","Status: operational; City: Johnstown"
"NE-DC-0002","Amazon Web Services — Papillion","41.15444","-96.04224","","NE","Status: operational; City: Papillion"
"PA-DC-0003","Amazon Web Services — Pennsylvania AI Innovation Campus","40.16866","-74.7915","","PA","Status: under_construction; City: Falls Township"
"WA-DC-0002","Amazon Web Services — Quincy","47.2343","-119.85255","","WA","Status: operational; City: Quincy"
"CA-DC-0004","Amazon Web Services — Sacramento","38.44932","-121.34424","","CA","Status: operational; City: Sacramento"
"TX-DC-0010","Amazon Web Services — San Antonio","29.42412","-98.49363","","TX","Status: under_construction; City: San Antonio"
"CA-DC-0005","Amazon Web Services — San Jose","37.33939","-121.89496","","CA","Status: operational; City: San Jose"
"CA-DC-0006","Amazon Web Services — Santa Clara","37.23249","-121.69627","","CA","Status: operational; City: Santa Clara"
"IN-DC-0003","Amazon Web Services — South Bend","41.68338","-86.25001","","IN","Status: under_construction; City: South Bend"
"VA-DC-0020","Amazon Web Services — Sterling","39.00622","-77.4286","","VA","Status: operational; City: Sterling"
